"","season","CONTRIBUTING.FACTOR.VEHICLE.1","weather","count"
"1","Fall","","Clear",18
"2","Fall","","Rain",18
"3","Fall","Accelerator Defective","Clear",1
"4","Fall","Accelerator Defective","Rain",1
"5","Fall","Aggressive Driving/Road Rage","Clear",31
"6","Fall","Aggressive Driving/Road Rage","Rain",29
"7","Fall","Alcohol Involvement","Clear",48
"8","Fall","Alcohol Involvement","Rain",50
"9","Fall","Animals Action","Clear",5
"10","Fall","Animals Action","Rain",4
"11","Fall","Backing Unsafely","Clear",61
"12","Fall","Backing Unsafely","Rain",74
"13","Fall","Brakes Defective","Clear",10
"14","Fall","Brakes Defective","Rain",12
"15","Fall","Cell Phone (hand-Held)","Rain",2
"16","Fall","Driver Inattention/Distraction","Clear",637
"17","Fall","Driver Inattention/Distraction","Rain",629
"18","Fall","Driver Inexperience","Clear",60
"19","Fall","Driver Inexperience","Rain",64
"20","Fall","Driverless/Runaway Vehicle","Clear",5
"21","Fall","Driverless/Runaway Vehicle","Rain",3
"22","Fall","Drugs (illegal)","Clear",4
"23","Fall","Drugs (illegal)","Rain",1
"24","Fall","Failure to Keep Right","Clear",5
"25","Fall","Failure to Keep Right","Rain",2
"26","Fall","Failure to Yield Right-of-Way","Clear",171
"27","Fall","Failure to Yield Right-of-Way","Rain",191
"28","Fall","Fatigued/Drowsy","Clear",5
"29","Fall","Fatigued/Drowsy","Rain",1
"30","Fall","Fell Asleep","Clear",7
"31","Fall","Fell Asleep","Rain",16
"32","Fall","Following Too Closely","Clear",168
"33","Fall","Following Too Closely","Rain",140
"34","Fall","Glare","Clear",2
"35","Fall","Glare","Rain",1
"36","Fall","Headlights Defective","Rain",1
"37","Fall","Illnes","Clear",11
"38","Fall","Illnes","Rain",4
"39","Fall","Lane Marking Improper/Inadequate","Rain",2
"40","Fall","Lost Consciousness","Clear",3
"41","Fall","Lost Consciousness","Rain",2
"42","Fall","Obstruction/Debris","Clear",6
"43","Fall","Obstruction/Debris","Rain",8
"44","Fall","Other Vehicular","Clear",77
"45","Fall","Other Vehicular","Rain",85
"46","Fall","Outside Car Distraction","Clear",9
"47","Fall","Outside Car Distraction","Rain",6
"48","Fall","Oversized Vehicle","Clear",9
"49","Fall","Oversized Vehicle","Rain",12
"50","Fall","Passenger Distraction","Clear",9
"51","Fall","Passenger Distraction","Rain",3
"52","Fall","Passing Too Closely","Clear",84
"53","Fall","Passing Too Closely","Rain",85
"54","Fall","Passing or Lane Usage Improper","Clear",116
"55","Fall","Passing or Lane Usage Improper","Rain",107
"56","Fall","Pavement Defective","Clear",2
"57","Fall","Pavement Defective","Rain",2
"58","Fall","Pavement Slippery","Clear",4
"59","Fall","Pavement Slippery","Rain",32
"60","Fall","Pedestrian/Bicyclist/Other Pedestrian Error/Confusion","Clear",44
"61","Fall","Pedestrian/Bicyclist/Other Pedestrian Error/Confusion","Rain",29
"62","Fall","Prescription Medication","Rain",1
"63","Fall","Reaction to Uninvolved Vehicle","Clear",25
"64","Fall","Reaction to Uninvolved Vehicle","Rain",33
"65","Fall","Steering Failure","Clear",2
"66","Fall","Steering Failure","Rain",6
"67","Fall","Tire Failure/Inadequate","Clear",3
"68","Fall","Tire Failure/Inadequate","Rain",4
"69","Fall","Traffic Control Device Improper/Non-Working","Rain",1
"70","Fall","Traffic Control Disregarded","Clear",73
"71","Fall","Traffic Control Disregarded","Rain",90
"72","Fall","Turning Improperly","Clear",67
"73","Fall","Turning Improperly","Rain",81
"74","Fall","Unsafe Lane Changing","Clear",44
"75","Fall","Unsafe Lane Changing","Rain",58
"76","Fall","Unsafe Speed","Clear",83
"77","Fall","Unsafe Speed","Rain",94
"78","Fall","Unspecified","Clear",608
"79","Fall","Unspecified","Rain",651
"80","Fall","Using On Board Navigation Device","Rain",1
"81","Fall","View Obstructed/Limited","Clear",19
"82","Fall","View Obstructed/Limited","Rain",29
"83","Spring","","Clear",19
"84","Spring","","Rain",40
"85","Spring","Accelerator Defective","Clear",2
"86","Spring","Accelerator Defective","Rain",5
"87","Spring","Aggressive Driving/Road Rage","Clear",26
"88","Spring","Aggressive Driving/Road Rage","Rain",43
"89","Spring","Alcohol Involvement","Clear",56
"90","Spring","Alcohol Involvement","Rain",100
"91","Spring","Animals Action","Clear",1
"92","Spring","Animals Action","Rain",3
"93","Spring","Backing Unsafely","Clear",83
"94","Spring","Backing Unsafely","Rain",182
"95","Spring","Brakes Defective","Clear",7
"96","Spring","Brakes Defective","Rain",20
"97","Spring","Cell Phone (hand-Held)","Clear",1
"98","Spring","Cell Phone (hand-Held)","Rain",1
"99","Spring","Driver Inattention/Distraction","Clear",648
"100","Spring","Driver Inattention/Distraction","Rain",1404
"101","Spring","Driver Inexperience","Clear",55
"102","Spring","Driver Inexperience","Rain",105
"103","Spring","Driverless/Runaway Vehicle","Clear",1
"104","Spring","Driverless/Runaway Vehicle","Rain",12
"105","Spring","Drugs (illegal)","Clear",1
"106","Spring","Drugs (illegal)","Rain",8
"107","Spring","Failure to Keep Right","Clear",3
"108","Spring","Failure to Keep Right","Rain",5
"109","Spring","Failure to Yield Right-of-Way","Clear",177
"110","Spring","Failure to Yield Right-of-Way","Rain",412
"111","Spring","Fatigued/Drowsy","Clear",4
"112","Spring","Fatigued/Drowsy","Rain",9
"113","Spring","Fell Asleep","Clear",13
"114","Spring","Fell Asleep","Rain",23
"115","Spring","Following Too Closely","Clear",149
"116","Spring","Following Too Closely","Rain",350
"117","Spring","Glare","Clear",5
"118","Spring","Glare","Rain",6
